mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.08773617744445801,0.0076385233227837124,0.0031238555908203124,0.006247711181640625,50,5,1,2,"{'n_estimators': 50, 'min_samples_split': 5, 'max_features': 1, 'max_depth': 2}",,,,,,,,1
0.19310379028320312,0.021190371728370544,0.0006280899047851563,0.0012561798095703125,100,8,1,2,"{'n_estimators': 100, 'min_samples_split': 8, 'max_features': 1, 'max_depth': 2}",,,,,,,,1
0.0015797615051269531,0.0017374124507396897,0.0,0.0,200,2,1,1.0,"{'n_estimators': 200, 'min_samples_split': 2, 'max_features': 1, 'max_depth': 1.0}",,,,,,,,1
0.0028033733367919924,0.005606746673583985,0.0,0.0,50,5,1,1.0,"{'n_estimators': 50, 'min_samples_split': 5, 'max_features': 1, 'max_depth': 1.0}",,,,,,,,1
0.6049424171447754,0.045872480873285236,0.0005843162536621094,0.0011686325073242188,200,2,log2,2,"{'n_estimators': 200, 'min_samples_split': 2, 'max_features': 'log2', 'max_depth': 2}",,,,,,,,1
0.3978743553161621,0.009641074591377087,0.0,0.0,100,2,log2,5,"{'n_estimators': 100, 'min_samples_split': 2, 'max_features': 'log2', 'max_depth': 5}",,,,,,,,1
0.3877259731292725,0.01070259671944421,0.0,0.0,200,5,1,5,"{'n_estimators': 200, 'min_samples_split': 5, 'max_features': 1, 'max_depth': 5}",,,,,,,,1
0.004439163208007813,0.006631832969276784,0.0,0.0,50,8,1,1.0,"{'n_estimators': 50, 'min_samples_split': 8, 'max_features': 1, 'max_depth': 1.0}",,,,,,,,1
0.002804470062255859,0.005608940124511718,0.0,0.0,200,5,1,1.0,"{'n_estimators': 200, 'min_samples_split': 5, 'max_features': 1, 'max_depth': 1.0}",,,,,,,,1
0.3132302284240723,0.005131561713326685,0.0,0.0,100,5,auto,2,"{'n_estimators': 100, 'min_samples_split': 5, 'max_features': 'auto', 'max_depth': 2}",,,,,,,,1
