mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_iter,param_kernel,param_coef0,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.009449243545532227,0.007716400094751943,0.0031235218048095703,0.006247043609619141,3,rbf,0.3,1.2,"{'max_iter': 3, 'kernel': 'rbf', 'coef0': 0.3, 'C': 1.2}",,,,,,,,1
0.006249237060546875,0.007653721825780988,0.0031235218048095703,0.006247043609619141,3,linear,0.0,1.4,"{'max_iter': 3, 'kernel': 'linear', 'coef0': 0.0, 'C': 1.4}",,,,,,,,1
0.0124969482421875,0.006248474394008784,0.0,0.0,5,sigmoid,0.3,1.4,"{'max_iter': 5, 'kernel': 'sigmoid', 'coef0': 0.3, 'C': 1.4}",,,,,,,,1
0.006247234344482422,0.007651268223786241,0.006250190734863281,0.007654890474975224,5,linear,0.2,1.2,"{'max_iter': 5, 'kernel': 'linear', 'coef0': 0.2, 'C': 1.2}",,,,,,,,1
0.013560152053833008,0.005939462841401154,0.0025662899017333983,0.003794661867277068,0,poly,0.3,1.2,"{'max_iter': 0, 'kernel': 'poly', 'coef0': 0.3, 'C': 1.2}",,,,,,,,1
0.009377574920654297,0.006375210699149676,0.003225421905517578,0.006450843811035156,5,sigmoid,0.3,1.2,"{'max_iter': 5, 'kernel': 'sigmoid', 'coef0': 0.3, 'C': 1.2}",,,,,,,,1
0.012642765045166015,0.00632361802647822,0.0031424522399902343,0.006284904479980469,3,poly,0.3,1.0,"{'max_iter': 3, 'kernel': 'poly', 'coef0': 0.3, 'C': 1.0}",,,,,,,,1
0.013610315322875977,0.004313465244284046,0.0,0.0,1,sigmoid,0.0,0.6,"{'max_iter': 1, 'kernel': 'sigmoid', 'coef0': 0.0, 'C': 0.6}",,,,,,,,1
0.01467270851135254,0.0007979828797671639,0.0,0.0,3,poly,0.2,0.6,"{'max_iter': 3, 'kernel': 'poly', 'coef0': 0.2, 'C': 0.6}",,,,,,,,1
0.028903484344482422,0.005987348668463284,0.0,0.0,-1,poly,0.2,1.0,"{'max_iter': -1, 'kernel': 'poly', 'coef0': 0.2, 'C': 1.0}",,,,,,,,1
